city,high,low,measurement,midnight,pollutant,site,year
London,9.896755098717202,10.785166177230321,µg/m3,11.940651022844575,PM2.5,Station_GB0566A,2017.0
London,15.580341877037036,12.957954541789773,µg/m3,15.620170451250003,PM2.5,Station_GB0682A,2017.0
London,9.420058993185842,11.276589592023122,µg/m3,12.34709301991279,PM2.5,Station_GB0608A,2017.0
London,11.278456587363346,12.90310558673913,µg/m3,13.60062304975078,PM2.5,Station_GB0586A,2017.0
London,,,µg/m3,13.530002870574714,PM2.5,Station_GB0682A,2017.0
London,9.75396341070122,12.371641787701492,µg/m3,13.302121208969696,PM2.5,Station_GB0620A,2017.0
London,,,µg/m3,9.289200569684814,PM2.5,Station_GB0743A,2017.0
London,15.27429378220339,14.943380278366195,µg/m3,16.579999996760566,PM2.5,Station_GB0636A,2017.0
London,14.21456310339806,16.445192304423077,µg/m3,17.21981131764151,PM2.5,Station_GB0959A,2017.0
London,9.24143835270548,10.834448156555183,µg/m3,11.930897006411959,PM2.5,Station_GB1025A,2017.0
London,9.165976327840237,10.520882349617649,µg/m3,11.034513270914456,PM2.5,Station_GB0566A,2018.0
London,16.033911312171252,14.171746947591465,µg/m3,15.810701803644578,PM2.5,Station_GB0682A,2018.0
London,10.693074788781164,12.510497233646408,µg/m3,13.24349030099723,PM2.5,Station_GB0608A,2018.0
London,9.09504950118812,10.455775574158418,µg/m3,10.955445541056104,PM2.5,Station_GB0586A,2018.0
London,,,µg/m3,12.203400599849397,PM2.5,Station_GB0682A,2018.0
London,7.5570273928493155,10.036471229013697,µg/m3,10.099452051260274,PM2.5,Station_GB0620A,2018.0
London,,,µg/m3,8.413913789310344,PM2.5,Station_GB0743A,2018.0
London,10.573230765630768,10.517445479439251,µg/m3,11.828348906137071,PM2.5,Station_GB0636A,2018.0
London,10.138243622351276,12.00056656898017,µg/m3,12.337677049999998,PM2.5,Station_GB1025A,2018.0
London,10.359848484848484,12.354716981132075,µg/m3,12.622641509433961,PM2.5,Station_GB0743A,2018.0
London,75.74295894357341,57.19419633419719,µg/m3,67.23480257333334,NOX as NO2,Station_GB0566A,2016.0
London,35.8192671432964,34.389608483529415,µg/m3,42.55547350610028,NOX as NO2,Station_GB0608A,2016.0
London,49.22094729647384,52.82770063038568,µg/m3,61.33798600201101,NOX as NO2,Station_GB0620A,2016.0
London,138.61673196515625,97.40506008819018,µg/m3,121.02144209512346,NOX as NO2,Station_GB0624A,2016.0
London,98.2007394219399,84.37357884879782,µg/m3,94.8316102150411,NOX as NO2,Station_GB0637A,2016.0
London,239.24651403447803,75.29016016002733,µg/m3,114.99727744832879,NOX as NO2,Station_GB0636A,2016.0
London,31.161351968520545,25.61161798907063,µg/m3,34.752239969123295,NOX as NO2,Station_GB0586A,2016.0
London,117.89129761404433,77.05931560403315,µg/m3,101.30996492739614,NOX as NO2,Station_GB0642A,2016.0
